County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Jefferson,Texas,48245,29.883,-94.164,1184,31,0
Jim Hogg,Texas,48247,27.045,-98.697,4,0,0
Jim Wells,Texas,48249,27.731,-98.09,15,0,0
Johnson,Texas,48251,32.379,-97.366,214,4,0
Jones,Texas,48253,32.74,-99.879,636,0,0
Karnes,Texas,48255,28.907,-97.86,4,0,0
Kaufman,Texas,48257,32.599,-96.287,308,2,0
Kendall,Texas,48259,29.944,-98.711,35,0,0
Kerr,Texas,48265,30.06,-99.349,20,1,0
Kimble,Texas,48267,30.487,-99.749,1,0,0
Kinney,Texas,48271,29.35,-100.419,1,0,0
Kleberg,Texas,48273,27.424,-97.699,20,1,0
Knox,Texas,48275,33.605,-99.742,1,0,0
La Salle,Texas,48283,28.345,-99.099,4,0,0
Lamar,Texas,48277,33.67,-95.574,158,11,0
Lamb,Texas,48279,34.069,-102.352,18,0,0
Lampasas,Texas,48281,31.195,-98.242,9,0,0
Lavaca,Texas,48285,29.385,-96.932,20,1,0
Lee,Texas,48287,30.311,-96.97,29,2,0
Leon,Texas,48289,31.299,-95.994,11,0,0
Liberty,Texas,48291,30.152,-94.812,110,3,0
Limestone,Texas,48293,31.545,-96.581,34,1,0
Lipscomb,Texas,48295,36.278,-100.273,7,0,0
Live Oak,Texas,48297,28.351,-98.125,9,0,0
Llano,Texas,48299,30.706,-98.685,3,0,0
Lubbock,Texas,48303,33.61,-101.82,759,50,0
Lynn,Texas,48305,33.177,-101.816,10,1,0
Madison,Texas,48313,30.967,-95.93,17,0,0
Marion,Texas,48315,32.799,-94.357,18,1,0
Martin,Texas,48317,32.306,-101.951,3,1,0
Mason,Texas,48319,30.718,-99.226,32,0,0
Matagorda,Texas,48321,28.82,-96.012,77,5,0
Maverick,Texas,48323,28.743,-100.316,149,2,0
McCulloch,Texas,48307,31.193,-99.347,3,0,0
McLennan,Texas,48309,31.553,-97.202,138,4,0
Medina,Texas,48325,29.356,-99.11,216,2,0
Midland,Texas,48329,31.869,-102.032,177,13,0
Milam,Texas,48331,30.786,-96.977,37,1,0
Mills,Texas,48333,31.496,-98.593,1,0,0
Mitchell,Texas,48335,32.306,-100.921,1,0,0
Montague,Texas,48337,33.675,-97.725,9,1,0
Montgomery,Texas,48339,30.301,-95.506,1162,32,0
Moore,Texas,48341,35.838,-101.893,864,14,0
Morris,Texas,48343,33.113,-94.733,27,0,0
Motley,Texas,48345,34.074,-100.78,1,0,0
Nacogdoches,Texas,48347,31.62,-94.618,315,21,0
Navarro,Texas,48349,32.046,-96.474,70,3,0
Newton,Texas,48351,30.785,-93.744,6,0,0
Nolan,Texas,48353,32.304,-100.406,3,0,0
Nueces,Texas,48355,27.736,-97.543,303,3,0
Ochiltree,Texas,48357,36.278,-100.816,52,2,0
Oldham,Texas,48359,35.404,-102.603,4,1,0
Orange,Texas,48361,30.119,-93.894,102,2,0
Palo Pinto,Texas,48363,32.753,-98.313,13,2,0
Panola,Texas,48365,32.164,-94.306,214,23,0
Parker,Texas,48367,32.778,-97.805,105,1,0
Parmer,Texas,48369,34.53,-102.784,98,0,0
Pecos,Texas,48371,30.781,-102.724,107,0,0
Polk,Texas,48373,30.795,-94.828,62,0,0
Potter,Texas,48375,35.401,-101.894,2766,32,0
Presidio,Texas,48377,30,-104.241,2,0,0
Rains,Texas,48379,32.871,-95.792,4,0,0
Randall,Texas,48381,34.966,-101.897,740,6,0
Reagan,Texas,48383,31.366,-101.523,2,0,0
Real,Texas,48385,29.833,-99.82,1,0,0
Red River,Texas,48387,33.619,-95.048,83,8,0
Reeves,Texas,48389,31.323,-103.69,11,0,0
Refugio,Texas,48391,28.324,-97.158,5,0,0
Roberts,Texas,48393,35.838,-100.813,2,0,0
Robertson,Texas,48395,31.025,-96.513,17,0,0
