Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Total Tested,Population
South Sudan,1670,,24 ,,48,1598,,3356,11186498 
Slovakia,1541,,28 ,,1409,104,,193471,5459512 
Costa Rica,1538,,12 ,,722,804,3,30779,5091620 
New Zealand,1504,,22 ,,1482,0,,304832,5002100 
Slovenia,1488,,109 ,,1359,20,,87058,2078924 
Nicaragua,1464,,55 ,,953,456,,,6620207 
Mauritania,1439,,74 ,,250,1115,25,7654,4641964 
Lebanon,1402,,31 ,,845,526,7,101676,6826874 
Guinea-Bissau,1389,,12 ,,153,1224,5,1500,1965141 
Albania,1385,,35 ,,1001,349,8,17318,2877949 
Equatorial Guinea,1306,,12 ,,200,1094,,8268,1399912 
Paraguay,1230,,11 ,,624,595,2,43292,7127687 
Madagascar,1203,,10 ,,312,881,8,14857,27646431 
Zambia,1200,,10 ,,912,278,1,28236,18351048 
Hong Kong,1108,,4 ,,1055,49,4,241992,7493747 
Latvia,1094,,26 ,,818,250,3,123364,1887105 
Tunisia,1087,,49 ,,989,49,1,56210,11811891 
Sierra Leone,1085,,50 ,,642,393,,,7967302 
Cyprus,975,,18 ,,807,150,4,134706,1206895 
Niger,974,,65 ,,878,31,,6252,24146544 
French Guiana,917,,2 ,,462,453,7,277,298196 
Burkina Faso,892,,53 ,,790,49,,,20866826 
Jordan,890,,9 ,,670,211,5,249431,10197652 
Andorra,852,,51 ,,780,21,7,3750,77259 
Chad,848,,72 ,,706,70,,,16395556 
Uruguay,847,,23 ,,772,52,4,51313,3473119 
Georgia,831,,13 ,,694,124,6,70569,3989535 
Congo,728,,24 ,,221,483,,,5509663 
Diamond Princess,712,,13 ,,651,48,4,, 
San Marino,691,,42 ,,496,153,1,5150,33927 
Uganda,679,, ,,161,518,,108904,45645761 
Cabo Verde,657,,6 ,,294,357,,1307,555657 
Malta,640,,9 ,,600,31,,78788,441484 
Sao Tome and Principe,632,,12 ,,146,474,,1278,218920 
Jamaica,611,6,10 ,,408,193,2,15153,2960505 
Yemen,591,,136 ,,23,432,,120,29786156 
Channel Islands,565,,48 ,,512,5,,10255,173777 
Togo,524,,13 ,,271,240,1,24358,8266815 
Tanzania,509,,21 ,,183,305,7,,59625015 
Rwanda,494,,2 ,,313,179,,84029,12932272 
Mozambique,489,,2 ,,144,343,,16035,31199461 
Palestine,487,,3 ,,410,74,,44876,5094148 
Réunion,487,,1 ,,447,39,1,17200,894975 
Malawi,481,,4 ,,55,422,4,6690,19098955 
Eswatini,449,,3 ,,238,208,5,6551,1159511 
Taiwan,443,,7 ,,431,5,,73751,23814623 
Liberia,410,,31 ,,206,173,,,5050381 
Libya,393,,5 ,,59,329,,11765,6866054 
Mauritius,337,,10 ,,325,2,,137789,1271663 
Isle of Man,336,,24 ,,312,0,,5415,85010 
Zimbabwe,332,,4 ,,51,277,,52905,14850685 
Vietnam,332,, ,,321,11,1,275000,97291603 
Montenegro,324,,9 ,,315,0,,13186,628062 
Benin,305,,4 ,,188,113,2,45100,12103226 
Myanmar,260,,6 ,,165,89,,43936,54390671 
Martinique,202,,14 ,,98,90,,,375279 
Mongolia,197,3, ,,95,102,11,17279,3275260 
Faeroe Islands,187,, ,,187,0,,10708,48854 
Cayman Islands,186,,1 ,,112,73,,16628,65679 
Gibraltar,176,, ,,171,5,,9709,33691 
Suriname,168,,2 ,,9,157,2,1165,586350 
Guadeloupe,164,,14 ,,144,6,1,4975,400121 
Syria,164,,6 ,,68,90,,,17474364 
Comoros,162,,2 ,,97,63,,,868486 
Guyana,158,,12 ,,92,54,1,1920,786357 
Bermuda,141,,9 ,,127,5,2,8430,62289 
Brunei ,141,,2 ,,138,1,1,23708,437253 
Cambodia,126,, ,,125,1,1,25884,16705964 
Angola,118,,5 ,,41,72,1,10000,32799138 
Trinidad and Tobago,117,,8 ,,109,0,,3493,1399258 
Bahamas,103,,11 ,,68,24,1,2252,393041 
Aruba,101,,3 ,,98,0,,2199,106743 
Monaco,99,,4 ,,93,2,,16200,39227 
Barbados,96,,7 ,,83,6,1,6321,287358 
Burundi,85,,1 ,,45,39,,382,11867795 
Liechtenstein,82,,1 ,,55,26,,900,38122 
Sint Maarten,77,,15 ,,61,1,1,471,42849 
Bhutan,62,, ,,19,43,,20529,771143 
French Polynesia,60,, ,,60,0,,4262,280824 
Botswana,48,,1 ,,24,23,1,26238,2348797 
Macao,45,, ,,45,0,,,648839 
Saint Martin,41,,3 ,,33,5,1,614,38628 
Eritrea,41,, ,,39,2,,,3543663 
Namibia,31,, ,,17,14,1,5084,2538214 
Gambia,28,,1 ,,22,5,,1970,2412325 
St. Vincent Grenadines,27,, ,,25,2,,643,110922 
Antigua and Barbuda,26,,3 ,,20,3,1,489,97886 
Timor-Leste,24,, ,,24,0,,1568,1316964 
Grenada,23,, ,,22,1,1,4130,112496 
Curaçao,22,,1 ,,15,6,,1080,164059 
New Caledonia,21,, ,,20,1,,7477,285350 
Belize,20,,2 ,,16,2,,1776,397206 
Laos,19,, ,,19,0,,9427,7269590 
Saint Lucia,19,, ,,18,1,,1264,183584 
Dominica,18,, ,,16,2,,534,71977 
Fiji,18,, ,,18,0,,2431,896103 
Saint Kitts and Nevis,15,, ,,15,0,,417,53179 
Falkland Islands,13,, ,,13,0,,535,3473 
Greenland,13,, ,,13,0,,2412,56765 
Turks and Caicos,12,,1 ,,11,0,,192,38688 
Vatican City,12,, ,,12,0,,,801 
Montserrat,11,,1 ,,10,0,,61,4992 
Seychelles,11,, ,,11,0,,,98315 
MS Zaandam,9,,2 ,,,7,,, 
Western Sahara,9,,1 ,,6,2,,,596428 
British Virgin Islands,8,,1 ,,7,0,,212,30220 
Papua New Guinea,8,, ,,8,0,,5281,8937038 
Caribbean Netherlands,7,, ,,7,0,,424,26210 
St. Barth,6,, ,,6,0,,152,9875 
Lesotho,4,, ,,2,2,,1515,2141348 
Anguilla,3,, ,,3,0,,41,14996 
Saint Pierre Miquelon,1,, ,,1,0,,,5795 
China,83064,7,4634 ,,78365,65,,,1439323776 
